ID,Level of Student,Graduate Level of Student,Total Men,Total Women,American Indian Alaskan Men,American Indian Alaskan Women,Asian Men,Asian Women,African American Men,African American Women,Hispanic Men,Hispanic Women,Hawaiian or Pacific Islander Men,Hawaiian or Pacific Islander Women,White Men,White Women,Mixed Race Men,Mixed Race Women,Unknown Race Men,Unknown Race Women,Non-Resident Alien Men,Non-Resident Alien Women
216746,4,2,44,10,0,0,0,0,4,0,2,1,0,0,36,9,0,0,2,0,0,0
216746,5,2,57,5,0,0,1,0,3,0,5,0,0,0,47,5,0,0,1,0,0,0
216746,20,2,57,5,0,0,1,0,3,0,5,0,0,0,47,5,0,0,1,0,0,0
216746,22,2,79,13,0,0,1,0,5,0,5,1,0,0,67,12,0,0,1,0,0,0
216746,23,2,79,13,0,0,1,0,5,0,5,1,0,0,67,12,0,0,1,0,0,0
216746,24,2,34,8,0,0,0,0,4,0,1,1,0,0,29,7,0,0,0,0,0,0
216746,25,2,45,5,0,0,1,0,1,0,4,0,0,0,38,5,0,0,1,0,0,0
216746,40,2,45,5,0,0,1,0,1,0,4,0,0,0,38,5,0,0,1,0,0,0
216746,42,2,22,2,0,0,0,0,2,0,2,0,0,0,16,2,0,0,2,0,0,0
216746,43,2,22,2,0,0,0,0,2,0,2,0,0,0,16,2,0,0,2,0,0,0
216746,44,2,10,2,0,0,0,0,0,0,1,0,0,0,7,2,0,0,2,0,0,0
216746,45,2,12,0,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,0,0,0
216746,60,2,12,0,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,0,0,0
216764,1,1,7635,12132,17,23,237,353,798,1550,378,730,7,4,5708,8785,280,386,180,238,30,63
216764,2,2,6458,9573,14,20,186,278,644,1185,329,608,7,2,4868,6934,253,334,143,185,14,27
216764,3,2,6191,9186,14,20,170,248,633,1158,317,588,7,2,4660,6657,245,320,131,166,14,27
216764,4,2,1101,1737,3,6,30,45,87,170,61,124,1,0,839,1305,47,58,32,27,1,2
216764,5,2,5090,7449,11,14,140,203,546,988,256,464,6,2,3821,5352,198,262,99,139,13,25
216764,11,2,267,387,0,0,16,30,11,27,12,20,0,0,208,277,8,14,12,19,0,0
